REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/001_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/001_1_clean.wav	 2.471	 2.100	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/002_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/002_1_clean.wav	 2.440	 2.063	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/003_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/003_1_clean.wav	 1.618	 1.383	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/004_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/004_1_clean.wav	 2.147	 1.757	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/005_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/005_1_clean.wav	 2.260	 1.867	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/006_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/006_1_clean.wav	 2.171	 1.780	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/007_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/007_1_clean.wav	 1.983	 1.618	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/008_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/008_1_clean.wav	 2.413	 2.032	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/009_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/009_1_clean.wav	 2.317	 1.927	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/010_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/010_1_clean.wav	 2.211	 1.818	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/011_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/011_1_clean.wav	 2.403	 2.021	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/001_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/001_1_clean.wav	 2.471	 2.100	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/002_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/002_1_clean.wav	 2.440	 2.063	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/003_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/003_1_clean.wav	 1.618	 1.383	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/004_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/004_1_clean.wav	 2.147	 1.757	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/005_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/005_1_clean.wav	 2.260	 1.867	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/006_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/006_1_clean.wav	 2.171	 1.780	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/007_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/007_1_clean.wav	 1.983	 1.618	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/008_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/008_1_clean.wav	 2.413	 2.032	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/009_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/009_1_clean.wav	 2.317	 1.927	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/010_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/010_1_clean.wav	 2.211	 1.818	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/001_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/001_1_clean.wav	 2.471	 2.100	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/002_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/002_1_clean.wav	 2.440	 2.063	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/003_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/003_1_clean.wav	 1.618	 1.383	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/004_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/004_1_clean.wav	 2.147	 1.757	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/005_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/005_1_clean.wav	 2.260	 1.867	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/006_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/006_1_clean.wav	 2.171	 1.780	 8000	nb
/net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/007_2_original.wav	 /net/archive/groups/plggsilas/unets/2019-09-10T23:15:17.628694/007_1_clean.wav	 1.983	 1.618	 8000	nb
